log_dir,distinct_subplot_count,subplot_ids
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_001_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4695398816_5608654704']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_010_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['5278815952_5278960528', '5278815904_5278960432', '5278495616_5280778384']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_012_1/annotations/t2v_notebook_true/annotation_0000_log,16.0,"['5019510416_5060804480', '5019510416_5060058800', '5019510416_5060588512', '5019510416_5061691680', '5019510416_5062273808', '5019510416_5062473776', '5019510416_5063061872', '5019510416_5063308592', '5019510416_5060058848', '5019510416_5060800400', '5019510416_5061326368', '5019510416_5062851040', '5019510416_4431090304', '5019510416_5061909280', '5019510416_5062471568', '5019510416_5060587024']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_013_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['6063614448_6069004688']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_016_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4427748688_5142646416']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_017_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_017_2/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_017_3/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_019_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4459246896_4903494592']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_019_2/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4933919392_4939602480', '4933919392_4939597920', '4933919392_4939851600']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_021_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5869480432_5869773184']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_023_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4401658816_5298706896']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_026_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4493579120_4352992288']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_028_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_028_1/annotations/t2v_notebook_true/annotation_0001_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_030_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4357546416_5098916080']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_035_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['5226313968_5226813760', '5180175952_5198044032']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_038_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4407930960_5448902192']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_039_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4422622176_6104019360']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_040_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4360637808_5809427936']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_041_1/annotations/t2v_notebook_true/annotation_0000_log,4.0,"['4427879232_4977681008', '4427879232_4977926240', '4427879232_4977675584', '4427879232_4977927440']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_041_2/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4533550400_5558935600', '4533550400_5558684896']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_050_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5744276736_5746288512']
